ID;LATITUDE;LONGITUDE;STRATEGY;SECTOR;NOTE
0;43.770973;-0.040836;-1;-1;
1;43.770981;-0.040844;-1;-1;
2;43.770988;-0.040856;-1;-1;
3;43.770996;-0.040864;-1;-1;
4;43.771008;-0.04088;-1;-1;
5;43.771019;-0.040899;-1;-1;
6;43.771027;-0.040907;-1;-1;
7;43.771038;-0.040921;-1;-1;
8;43.771046;-0.040931;-1;-1;
9;43.771057;-0.040942;-1;-1;
10;43.771065;-0.040951;-1;-1;
11;43.771072;-0.040961;-1;-1;
12;43.77108;-0.040967;-1;-1;
13;43.771088;-0.040975;-1;-1;
14;43.771095;-0.040984;-1;-1;
15;43.771103;-0.04099;-1;-1;
16;43.771111;-0.040999;-1;-1;
17;43.771122;-0.04101;-1;-1;
18;43.77113;-0.041018;-1;-1;
19;43.771137;-0.041027;-1;-1;
20;43.771145;-0.041036;-1;-1;
21;43.771152;-0.041047;-1;-1;
22;43.771164;-0.041058;-1;-1;
23;43.771172;-0.041069;-1;-1;
24;43.771183;-0.041081;-1;-1;
25;43.771191;-0.041088;-1;-1;
26;43.771202;-0.041101;-1;-1;
27;43.771214;-0.041116;-1;-1;
28;43.771225;-0.04113;-1;-1;
29;43.771233;-0.041138;-1;-1;
30;43.771244;-0.041154;-1;-1;
31;43.771252;-0.041162;-1;-1;
32;43.771259;-0.04117;-1;-1;
33;43.771267;-0.041183;-1;-1;
34;43.771275;-0.041192;-1;-1;
35;43.771282;-0.041201;-1;-1;
36;43.77129;-0.041211;-1;-1;
37;43.771297;-0.04122;-1;-1;
38;43.771309;-0.041235;-1;-1;
39;43.771317;-0.041245;-1;-1;
40;43.771324;-0.041255;-1;-1;
41;43.771332;-0.041265;-1;-1;
42;43.771343;-0.041281;-1;-1;
43;43.771351;-0.041292;-1;-1;
44;43.771362;-0.041302;-1;-1;
45;43.77137;-0.041313;-1;-1;
46;43.771378;-0.041324;-1;-1;
47;43.771389;-0.041335;-1;-1;
48;43.771397;-0.041347;-1;-1;
49;43.771404;-0.041358;-1;-1;
50;43.771416;-0.04137;-1;-1;
51;43.771423;-0.041382;-1;-1;
52;43.771439;-0.0414;-1;-1;
53;43.771446;-0.041412;-1;-1;
54;43.771458;-0.041425;-1;-1;
55;43.771465;-0.041437;-1;-1;
56;43.771481;-0.041457;-1;-1;
57;43.771492;-0.041471;-1;-1;
58;43.771503;-0.041484;-1;-1;
59;43.771511;-0.041498;-1;-1;
60;43.771523;-0.041512;-1;-1;
61;43.771538;-0.041534;-1;-1;
62;43.771549;-0.041548;-1;-1;
63;43.771561;-0.041563;-1;-1;
64;43.771572;-0.041578;-1;-1;
65;43.771591;-0.041601;-1;-1;
66;43.771603;-0.041616;-1;-1;
67;43.771614;-0.041632;-1;-1;
68;43.771626;-0.041648;-1;-1;
69;43.771637;-0.041664;-1;-1;
70;43.771656;-0.041688;-1;-1;
71;43.771667;-0.041703;-1;-1;
72;43.771679;-0.041719;-1;-1;
73;43.77169;-0.041735;-1;-1;
74;43.771709;-0.041758;-1;-1;
75;43.771721;-0.041773;-1;-1;
76;43.771732;-0.041789;-1;-1;
77;43.771744;-0.041804;-1;-1;
78;43.771755;-0.04182;-1;-1;
79;43.771774;-0.041843;-1;-1;
80;43.771786;-0.041858;-1;-1;
81;43.771797;-0.041873;-1;-1;
82;43.771809;-0.041888;-1;-1;
83;43.771824;-0.041911;-1;-1;
84;43.771835;-0.041926;-1;-1;
85;43.771847;-0.041942;-1;-1;
86;43.771858;-0.041957;-1;-1;
87;43.77187;-0.041972;-1;-1;
88;43.771885;-0.041995;-1;-1;
89;43.771896;-0.04201;-1;-1;
90;43.771904;-0.042025;-1;-1;
91;43.771915;-0.04204;-1;-1;
92;43.771927;-0.042055;-1;-1;
93;43.771935;-0.042071;-1;-1;
94;43.771946;-0.042086;-1;-1;
95;43.771957;-0.042102;-1;-1;
96;43.771965;-0.042117;-1;-1;
97;43.77198;-0.04214;-1;-1;
98;43.771988;-0.042156;-1;-1;
99;43.771999;-0.042171;-1;-1;
100;43.772007;-0.042187;-1;-1;
101;43.772018;-0.042202;-1;-1;
102;43.77203;-0.042225;-1;-1;
103;43.772038;-0.042241;-1;-1;
104;43.772049;-0.042256;-1;-1;
105;43.772057;-0.042272;-1;-1;
106;43.772064;-0.042287;-1;-1;
107;43.772076;-0.042302;-1;-1;
108;43.772083;-0.042317;-1;-1;
109;43.772091;-0.042332;-1;-1;
110;43.772102;-0.042346;-1;-1;
111;43.77211;-0.042361;-1;-1;
112;43.772118;-0.042376;-1;-1;
113;43.772125;-0.04239;-1;-1;
114;43.772133;-0.042405;-1;-1;
115;43.772141;-0.042419;-1;-1;
116;43.772148;-0.042434;-1;-1;
117;43.772156;-0.042449;-1;-1;
118;43.772163;-0.042463;-1;-1;
